date,month,week,platform,campaign,posts,impressions,likes,comments,shares,sentiment,hashtags,text
2024-04-12,2024-04,2024-04-08/2024-04-14,Instagram,BrandAwareness,4,31705,1534,204,52,-0.063,#viral,New blog post: marketing strategies for 2025.
2025-03-11,2025-03,2025-03-10/2025-03-16,Facebook,,1,8024,590,20,26,0.441,#giveaway #launch,New blog post: marketing strategies for 2025.
2024-09-27,2024-09,2024-09-23/2024-09-29,Youtube,BrandAwareness,1,17117,457,84,23,-0.521,#giveaway,Top 5 tips to boost engagement.
2024-04-16,2024-04,2024-04-15/2024-04-21,Linkedin,,1,4031,110,21,13,-0.212,#tips #marketing,New blog post: marketing strategies for 2025.
2024-03-12,2024-03,2024-03-11/2024-03-17,Youtube,BrandAwareness,1,17153,777,47,37,0.182,#marketing #tips,Top 5 tips to boost engagement.
2024-01-21,2024-01,2024-01-15/2024-01-21,Twitter,BrandAwareness,1,2652,200,17,11,0.328,,Holiday sale starts now — big discounts!
2025-09-06,2025-09,2025-09-01/2025-09-07,Twitter,EngagementBoost,2,6683,402,25,16,0.315,#brand #news,Customer testimonial — we love feedback.
2024-05-01,2024-05,2024-04-29/2024-05-05,Linkedin,HolidayPush,1,3016,211,15,7,-0.194,#viral #brand #howto,Launching our new product today! Check it out.
2025-04-11,2025-04,2025-04-07/2025-04-13,Twitter,BrandAwareness,5,20205,814,125,45,0.044,#brand #news #tips,We hit a milestone — thank you!
2024-08-02,2024-08,2024-07-29/2024-08-04,Instagram,,2,13060,523,63,29,-0.081,#news,Holiday sale starts now — big discounts!
2024-11-26,2024-11,2024-11-25/2024-12-01,Twitter,,4,16343,1435,124,50,0.174,,Collab announcement — exciting news.
2025-04-03,2025-04,2025-03-31/2025-04-06,Twitter,Community,1,4118,282,36,13,0.283,#marketing,We hit a milestone — thank you!
2024-03-28,2024-03,2024-03-25/2024-03-31,Twitter,BrandAwareness,1,5773,222,23,17,0.019,#brand #launch,Top 5 tips to boost engagement.
2025-01-07,2025-01,2025-01-06/2025-01-12,Twitter,Community,4,15477,316,91,26,0.12,#sale #giveaway,Top 5 tips to boost engagement.
2024-04-09,2024-04,2024-04-08/2024-04-14,Twitter,BrandAwareness,4,17663,562,154,60,0.08,#brand,Top 5 tips to boost engagement.
2025-10-25,2025-10,2025-10-20/2025-10-26,Instagram,,2,19433,755,53,34,-0.471,#howto,Behind the scenes from our team meeting.
2024-05-10,2024-05,2024-05-06/2024-05-12,Facebook,HolidayPush,3,27980,968,0,53,0.533,#news,Join our giveaway — win prizes!
2025-10-23,2025-10,2025-10-20/2025-10-26,Facebook,BrandAwareness,1,11062,656,65,26,0.442,#marketing,Customer testimonial — we love feedback.
2024-11-04,2024-11,2024-11-04/2024-11-10,Facebook,HolidayPush,1,9365,687,30,35,-0.55,#howto,Top 5 tips to boost engagement.
2024-12-09,2024-12,2024-12-09/2024-12-15,Instagram,,2,15394,895,24,28,0.817,,Launching our new product today! Check it out.
2025-05-06,2025-05,2025-05-05/2025-05-11,Twitter,,1,4295,218,11,14,0.224,#viral,New blog post: marketing strategies for 2025.
2025-02-17,2025-02,2025-02-17/2025-02-23,Facebook,Community,1,7630,510,6,3,0.271,#launch,Top 5 tips to boost engagement.
2025-01-20,2025-01,2025-01-20/2025-01-26,Facebook,Community,2,15214,809,112,53,-0.096,#marketing,Top 5 tips to boost engagement.
2024-07-10,2024-07,2024-07-08/2024-07-14,Twitter,,3,11361,292,78,45,0.123,#news,Live Q&A tomorrow — set a reminder.
2024-10-03,2024-10,2024-09-30/2024-10-06,Twitter,BrandAwareness,2,9417,603,33,33,0.271,#marketing,Holiday sale starts now — big discounts!
